pt	en	es	ar	ko	ja	zh	hi	id	ru
Exportar vídeo	Export video	Exportar vídeo	تصدير الفيديو	동영상 내보내기	動画を書き出す	导出视频	वीडियो निर्यात करें	Ekspor video	Экспорт видео
Qualidade	Quality	Calidad	الجودة	품질	品質	质量	गुणवत्ता	Kualitas	Качество
Resolucao	Resolution	Resolución	الدقة	해상도	解像度	分辨率	रिज़ॉल्यूशन	Resolusi	Разрешение
Proporcao	Aspect ratio	Relación de aspecto	نسبة العرض إلى الارتفاع	화면 비율	縦横比	宽高比	आस्पेक्ट अनुपात	Rasio aspek	Соотношение сторон
Padroes de novos projetos	New project defaults	Valores predeterminados de nuevos proyectos	إعدادات المشاريع الجديدة	새 프로젝트 기본 설정	新規プロジェクトの既定値	新项目默认设置	नए प्रोजेक्ट की डिफ़ॉल्ट सेटिंग	Pengaturan awal proyek baru	Настройки новых проектов
Tema	Theme	Tema	المظهر	테마	テーマ	主题	थीम	Tema	Тема
Escuro	Dark	Oscuro	داكن	어둡게	ダーク	深色	गहरा	Gelap	Тёмная
Claro	Light	Claro	فاتح	밝게	ライト	浅色	हल्का	Terang	Светлая
Sistema	System	Sistema	النظام	시스템	システム	系统	सिस्टम	Sistem	Системная
Limpar cache	Clear cache	Borrar caché	مسح ذاكرة التخزين المؤقت	캐시 지우기	キャッシュを削除	清除缓存	कैश साफ़ करें	Hapus cache	Очистить кэш
Imagem	Image	Imagen	صورة	이미지	画像	图片	छवि	Gambar	Изображение
Vídeo	Video	Vídeo	فيديو	동영상	動画	视频	वीडियो	Video	Видео
Áudio	Audio	Audio	صوت	오디오	音声	音频	ऑडियो	Audio	Аудио
Mídia	Media	Multimedia	الوسائط	미디어	メディア	媒体	मीडिया	Media	Медиа
Galeria	Gallery	Galería	المعرض	갤러리	ギャラリー	相册	गैलरी	Galeri	Галерея
Texto	Text	Texto	نص	텍스트	テキスト	文本	टेक्स्ट	Teks	Текст
Forma	Shape	Forma	شكل	도형	シェイプ	形状	आकार	Bentuk	Фигура
Formas	Shapes	Formas	أشكال	도형	シェイプ	形状	आकार	Bentuk	Фигуры
Modelos	Models	Modelos	النماذج	모델	モデル	模型	मॉडल	Model	Модели
Camadas	Layers	Capas	الطبقات	레이어	レイヤー	图层	लेयर	Lapisan	Слои
Camada	Layer	Capa	طبقة	레이어	レイヤー	图层	लेयर	Lapisan	Слой
Efeitos	Effects	Efectos	التأثيرات	효과	エフェクト	效果	इफ़ेक्ट	Efek	Эффекты
Adicionar efeito	Add effect	Añadir efecto	إضافة تأثير	효과 추가	エフェクトを追加	添加效果	इफ़ेक्ट जोड़ें	Tambah efek	Добавить эффект
Opacidade	Opacity	Opacidad	العتامة	불투명도	不透明度	不透明度	अपारदर्शिता	Opasitas	Непрозрачность
Mesclagem	Blending	Fusión	المزج	혼합	ブレンド	混合	ब्लेंडिंग	Pencampuran	Наложение
Máscara	Mask	Máscara	قناع	마스크	マスク	蒙版	मास्क	Masker	Маска
Cor	Color	Color	اللون	색상	色	颜色	रंग	Warna	Цвет
Preenchimento	Fill	Relleno	تعبئة	채우기	塗り	填充	भराव	Isian	Заливка
Cor e preenchimento	Color and fill	Color y relleno	اللون والتعبئة	색상 및 채우기	色と塗り	颜色与填充	रंग और भराव	Warna dan isian	Цвет и заливка
Borda e sombra	Border and shadow	Borde y sombra	الحدود والظل	테두리 및 그림자	境界線と影	边框与阴影	बॉर्डर और छाया	Tepi dan bayangan	Граница и тень
Mover	Move	Mover	تحريك	이동	移動	移动	खिसकाएँ	Pindahkan	Переместить
Girar	Rotate	Girar	تدوير	회전	回転	旋转	घुमाएँ	Putar	Повернуть
Escalar	Scale	Escalar	تحجيم	크기 조절	拡大・縮小	缩放	स्केल	Skalakan	Масштабировать
Inclinar	Skew	Inclinar	إمالة	기울이기	傾斜	倾斜	तिरछा करें	Miringkan	Наклонить
Posição	Position	Posición	الموضع	위치	位置	位置	स्थिति	Posisi	Позиция
Rotação	Rotation	Rotación	الدوران	회전	回転	旋转	घुमाव	Rotasi	Вращение
Escala	Scale	Escala	المقياس	배율	スケール	缩放	स्केल	Skala	Масштаб
Tamanho	Size	Tamaño	الحجم	크기	サイズ	大小	आकार	Ukuran	Размер
Largura	Width	Anchura	العرض	너비	幅	宽度	चौड़ाई	Lebar	Ширина
Altura	Height	Altura	الارتفاع	높이	高さ	高度	ऊँचाई	Tinggi	Высота
Profundidade	Depth	Profundidad	العمق	깊이	奥行き	深度	गहराई	Kedalaman	Глубина
Pivô	Pivot	Pivote	نقطة الارتكاز	피벗	ピボット	轴心	धुरी	Pivot	Опорная точка
Velocidade	Speed	Velocidad	السرعة	속도	速度	速度	गति	Kecepatan	Скорость
Volume	Volume	Volumen	مستوى الصوت	음량	音量	音量	आवाज़	Volume	Громкость
Duração	Duration	Duración	المدة	길이	長さ	时长	अवधि	Durasi	Длительность
Início	Start	Inicio	البداية	시작	開始	开始	शुरुआत	Mulai	Начало
Fim	End	Fin	النهاية	끝	終了	结束	अंत	Akhir	Конец
Recortar	Crop	Recortar	اقتصاص	자르기	切り抜き	裁剪	क्रॉप करें	Pangkas	Обрезать
Dividir	Split	Dividir	تقسيم	분할	分割	分割	विभाजित करें	Pisahkan	Разделить
Vincular	Link	Vincular	ربط	연결	リンク	关联	लिंक करें	Tautkan	Связать
Desvincular	Unlink	Desvincular	فك الربط	연결 해제	リンク解除	取消关联	अनलिंक करें	Lepas tautan	Отвязать
Objeto nulo	Null object	Objeto nulo	كائن فارغ	널 오브젝트	ヌルオブジェクト	空对象	नल ऑब्जेक्ट	Objek null	Нулевой объект
Cena 3D	3D scene	Escena 3D	مشهد ثلاثي الأبعاد	3D 장면	3Dシーン	3D场景	3D दृश्य	Adegan 3D	3D-сцена
Scene 3D	3D scene	Escena 3D	مشهد ثلاثي الأبعاد	3D 장면	3Dシーン	3D场景	3D दृश्य	Adegan 3D	3D-сцена
Objetos	Objects	Objetos	الكائنات	오브젝트	オブジェクト	对象	ऑब्जेक्ट	Objek	Объекты
Transformar	Transform	Transformar	تحويل	변형	変形	变换	रूपांतरण	Transformasi	Трансформация
Animar	Animate	Animar	تحريك	애니메이션	アニメーション	动画	एनिमेट करें	Animasikan	Анимировать
Animação	Animation	Animación	الرسوم المتحركة	애니메이션	アニメーション	动画	एनिमेशन	Animasi	Анимация
Câmera	Camera	Cámara	الكاميرا	카메라	カメラ	摄像机	कैमरा	Kamera	Камера
Câmeras	Cameras	Cámaras	الكاميرات	카메라	カメラ	摄像机	कैमरे	Kamera	Камеры
Luz	Light	Luz	الضوء	조명	ライト	灯光	प्रकाश	Cahaya	Свет
Luzes	Lights	Luces	الأضواء	조명	ライト	灯光	प्रकाश	Cahaya	Источники света
Cena	Scene	Escena	المشهد	장면	シーン	场景	दृश्य	Adegan	Сцена
Material	Material	Material	الخامة	재질	マテリアル	材质	मैटेरियल	Material	Материал
Materiais	Materials	Materiales	الخامات	재질	マテリアル	材质	मैटेरियल	Material	Материалы
Reflexos	Reflections	Reflejos	الانعكاسات	반사	反射	反射	परावर्तन	Refleksi	Отражения
Ambiente	Environment	Entorno	البيئة	환경	環境	环境	परिवेश	Lingkungan	Окружение
Intensidade	Intensity	Intensidad	الشدة	강도	強度	强度	तीव्रता	Intensitas	Интенсивность
Sombras	Shadows	Sombras	الظلال	그림자	シャドウ	阴影	छाया	Bayangan	Тени
Perspectiva	Perspective	Perspectiva	المنظور	원근	透視投影	透视	परिप्रेक्ष्य	Perspektif	Перспектива
Frente	Front	Frente	أمام	정면	正面	前视	सामने	Depan	Спереди
Topo	Top	Arriba	أعلى	위	上面	顶视	ऊपर	Atas	Сверху
Direita	Right	Derecha	يمين	오른쪽	右	右侧	दायाँ	Kanan	Справа
Livre	Free	Libre	حر	자유	自由	自由	मुक्त	Bebas	Свободно
Dicas	Tips	Consejos	نصائح	도움말	ヒント	提示	सुझाव	Tips	Советы
Ajuda	Help	Ayuda	مساعدة	도움말	ヘルプ	帮助	सहायता	Bantuan	Помощь
Avançado	Advanced	Avanzado	متقدم	고급	詳細	高级	उन्नत	Lanjutan	Расширенные
Pronto	Ready	Listo	جاهز	준비됨	準備完了	就绪	तैयार	Siap	Готово
Montar	Customize	Personalizar	تخصيص	사용자 지정	カスタマイズ	自定义	अनुकूलित करें	Sesuaikan	Настроить
Redefinir	Reset	Restablecer	إعادة الضبط	초기화	リセット	重置	रीसेट करें	Atur ulang	Сбросить
Desenhar	Draw	Dibujar	رسم	그리기	描画	绘制	बनाएँ	Gambar	Рисовать
Pontos	Points	Puntos	النقاط	점	ポイント	点	बिंदु	Titik	Точки
Cantos	Corners	Esquinas	الزوايا	모서리	角	圆角	कोने	Sudut	Углы
Traço	Stroke	Trazo	الحد	선	線	描边	स्ट्रोक	Goresan	Обводка
Animar contorno	Animate outline	Animar contorno	تحريك الحدود	윤곽선 애니메이션	輪郭をアニメーション化	轮廓动画	रूपरेखा एनिमेट करें	Animasikan garis tepi	Анимировать контур
Desenhar à mão na prévia	Draw on preview	Dibujar en la vista previa	الرسم على المعاينة	미리보기에 그리기	プレビューに描く	在预览中绘制	पूर्वावलोकन पर बनाएँ	Gambar pada pratinjau	Рисовать на предпросмотре
Melhorar qualidade	Enhance quality	Mejorar calidad	تحسين الجودة	화질 개선	画質を向上	提升画质	गुणवत्ता सुधारें	Tingkatkan kualitas	Улучшить качество
Melhorar qualidade • IA e cores	Enhance quality • AI and color	Mejorar calidad • IA y color	تحسين الجودة • الذكاء الاصطناعي والألوان	화질 개선 • AI 및 색상	画質向上 • AIと色	提升画质 • AI与颜色	गुणवत्ता सुधारें • AI और रंग	Tingkatkan kualitas • AI dan warna	Улучшить качество • ИИ и цвет
Mais definição. Sua cor.	More detail. Your color.	Más detalle. Tu color.	تفاصيل أوضح. ألوانك.	더 선명하게. 나만의 색상.	もっと鮮明に。あなたの色で。	更清晰，更出彩。	अधिक विवरण। आपके रंग।	Lebih detail. Warnamu.	Больше деталей. Ваш цвет.
Escolher foto ou vídeo	Choose photo or video	Elegir foto o vídeo	اختيار صورة أو فيديو	사진 또는 동영상 선택	写真または動画を選択	选择照片或视频	फ़ोटो या वीडियो चुनें	Pilih foto atau video	Выбрать фото или видео
Trocar arquivo	Change file	Cambiar archivo	تغيير الملف	파일 변경	ファイルを変更	更换文件	फ़ाइल बदलें	Ganti berkas	Сменить файл
Ampliar com IA	Upscale with AI	Ampliar con IA	تكبير بالذكاء الاصطناعي	AI로 확대	AIで拡大	AI放大	AI से बड़ा करें	Perbesar dengan AI	Увеличить с ИИ
CCs • Correção de cor	CCs • Color correction	CCs • Corrección de color	تصحيح الألوان	CC • 색상 보정	CC • 色補正	CC • 色彩校正	CC • रंग सुधार	CC • Koreksi warna	CC • Цветокоррекция
Comparar antes e depois	Compare before and after	Comparar antes y después	مقارنة قبل وبعد	전후 비교	変更前後を比較	对比处理前后	पहले और बाद की तुलना	Bandingkan sebelum dan sesudah	Сравнить до и после
Gerar resultado	Generate result	Generar resultado	إنشاء النتيجة	결과 생성	結果を生成	生成结果	परिणाम बनाएँ	Buat hasil	Создать результат
Salvar na galeria	Save to gallery	Guardar en la galería	حفظ في المعرض	갤러리에 저장	ギャラリーに保存	保存到相册	गैलरी में सहेजें	Simpan ke galeri	Сохранить в галерею
Antes	Before	Antes	قبل	이전	変更前	处理前	पहले	Sebelum	До
Depois	After	Después	بعد	이후	変更後	处理后	बाद में	Sesudah	После
Reduzir ruído	Reduce noise	Reducir ruido	تقليل التشويش	노이즈 감소	ノイズを低減	降噪	शोर कम करें	Kurangi derau	Уменьшить шум
Detalhes	Details	Detalles	التفاصيل	디테일	詳細	细节	विवरण	Detail	Детали
Intensidade da cor	Color intensity	Intensidad del color	شدة اللون	색상 강도	色の強度	色彩强度	रंग की तीव्रता	Intensitas warna	Интенсивность цвета
Como funciona	How it works	Cómo funciona	كيف يعمل	사용 방법	使い方	使用说明	यह कैसे काम करता है	Cara kerja	Как это работает
Natural	Natural	Natural	طبيعي	자연스럽게	ナチュラル	自然	प्राकृतिक	Alami	Естественный
Cinema	Cinema	Cine	سينمائي	시네마	シネマ	电影	सिनेमा	Sinema	Кино
Dourado	Golden	Dorado	ذهبي	골든	ゴールド	金色	सुनहरा	Keemasan	Золотистый
Frio	Cool	Frío	بارد	차갑게	クール	冷色	ठंडा	Dingin	Холодный
Vintage	Vintage	Vintage	قديم	빈티지	ヴィンテージ	复古	विंटेज	Vintage	Винтаж
Vibrante	Vibrant	Vibrante	زاهٍ	선명하게	鮮やか	鲜艳	चमकीला	Cerah	Яркий
Preto e branco	Black and white	Blanco y negro	أبيض وأسود	흑백	白黒	黑白	श्वेत-श्याम	Hitam putih	Чёрно-белый
Cobre dramático	Dramatic copper	Cobre dramático	نحاسي درامي	드라마틱 코퍼	ドラマチックコッパー	戏剧铜色	नाटकीय तांबा	Tembaga dramatis	Драматическая медь
Retrato limpo	Clean portrait	Retrato limpio	بورتريه صافٍ	선명한 인물	クリアポートレート	清透人像	साफ़ पोर्ट्रेट	Potret bersih	Чистый портрет
Cinema lilás	Lilac cinema	Cine lila	سينمائي أرجواني	라일락 시네마	ライラックシネマ	淡紫电影	लाइलैक सिनेमा	Sinema ungu muda	Сиреневое кино
Azul fosco	Matte blue	Azul mate	أزرق مطفأ	매트 블루	マットブルー	哑光蓝	मैट नीला	Biru matte	Матовый синий
Esporte nítido	Sharp sports	Deporte nítido	رياضة واضحة	선명한 스포츠	シャープスポーツ	清晰运动	स्पष्ट खेल	Olahraga tajam	Чёткий спорт
Azul elétrico	Electric blue	Azul eléctrico	أزرق كهربائي	일렉트릭 블루	エレクトリックブルー	电光蓝	इलेक्ट्रिक नीला	Biru elektrik	Электрический синий
Flash	Flash	Flash	فلاش	플래시	フラッシュ	闪光	फ़्लैश	Flash	Вспышка
Verde e ouro	Green and gold	Verde y oro	أخضر وذهبي	그린 앤 골드	グリーン＆ゴールド	绿与金	हरा और सुनहरा	Hijau dan emas	Зелёный и золотой
Entrar	Sign in	Iniciar sesión	تسجيل الدخول	로그인	ログイン	登录	साइन इन करें	Masuk	Войти
Sair	Sign out	Cerrar sesión	تسجيل الخروج	로그아웃	ログアウト	退出登录	साइन आउट करें	Keluar	Выйти
Sim	Yes	Sí	نعم	예	はい	是	हाँ	Ya	Да
Não	No	No	لا	아니요	いいえ	否	नहीं	Tidak	Нет
Concluído	Done	Listo	تم	완료	完了	完成	पूरा हुआ	Selesai	Готово
Carregando…	Loading…	Cargando…	جارٍ التحميل…	로딩 중…	読み込み中…	加载中…	लोड हो रहा है…	Memuat…	Загрузка…
